# Ridge Phase 4 ground-truth measurements
# gpu,NVIDIA A100-SXM4-40GB
# sms,108
# nominal_clock_mhz,1410
# sweep,data/sweep/phase4-registered.csv
# warmup_seconds,5
# canary_start_tflops,239.606
# NOTE clocks must be locked (nvidia-smi -lgc 1410,1410), see PLAN.md Finding 9
M,N,K,tag,BM,BN,BK,WM,WN,stages,groupM,regsPerThread,smemBytes,threads,tflops,cublas_tflops,fraction_of_cublas,canary_tflops
8192,2048,4096,wide-m,128,128,32,32,64,4,8,127,75776,256,155.676,235.504,0.661034,236.551
8192,2048,4096,wide-m,128,128,32,32,32,4,8,95,75776,512,111.544,235.504,0.473641,236.551
8192,2048,4096,wide-m,256,128,32,64,32,3,8,125,135168,512,136.928,235.504,0.581427,236.551
8192,2048,4096,wide-m,128,256,32,64,32,3,8,125,133120,512,139.545,235.504,0.592539,236.551
8192,2048,4096,wide-m,128,128,32,64,64,4,1,225,75776,128,174.531,235.504,0.741096,236.551
8192,2048,4096,wide-m,128,128,32,64,64,4,2,225,75776,128,172.435,235.504,0.732196,236.551
8192,2048,4096,wide-m,128,128,32,64,64,4,4,225,75776,128,172.327,235.504,0.731738,236.551
8192,2048,4096,wide-m,128,128,32,64,64,4,16,225,75776,128,171.93,235.504,0.73005,236.551
8192,2048,4096,wide-m,128,128,32,64,64,4,32,225,75776,128,169.043,235.504,0.717791,236.551
8192,2048,4096,wide-m,256,128,64,64,64,3,4,248,162816,256,160.566,235.504,0.681799,236.551
8192,2048,4096,wide-m,256,128,64,64,64,3,16,248,162816,256,161.296,235.504,0.684898,236.551
2048,8192,1024,wide-n,128,128,32,64,64,3,8,224,67584,128,144.232,210.188,0.686203,236.551
2048,8192,1024,wide-n,128,128,32,64,64,4,8,225,75776,128,147.563,210.188,0.702054,236.551
2048,8192,1024,wide-n,128,128,64,64,64,3,8,243,107520,128,120.752,210.188,0.574493,236.551
2048,8192,1024,wide-n,128,128,64,64,32,3,8,125,107520,256,122.477,210.188,0.582702,236.551
2048,8192,1024,wide-n,128,256,32,64,64,3,8,236,133120,256,126.258,210.188,0.600692,236.551
2048,8192,1024,wide-n,256,128,32,64,64,3,8,226,135168,256,120.143,210.188,0.571597,236.551
2048,8192,1024,wide-n,128,64,64,64,32,4,8,127,110592,128,101.472,210.188,0.482766,236.551
2048,8192,1024,wide-n,64,128,64,32,64,4,8,167,106496,128,76.2462,210.188,0.362752,236.551
